Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 97.0.4692.99,,,2022-01-31 10:36:26,2022-01-31 10:40:17,3m - 50.615s,PASSED
,,,,,,,
Test Cases/Ejercicio1/Test_case_1_login,Chrome 97.0.4692.99,Login incorrecto (contraseña incorrecta),Login,2022-01-31 10:36:27,2022-01-31 10:38:13,1m - 46.029s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-31 10:36:28,2022-01-31 10:37:27,58.801s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-01-31 10:37:27,2022-01-31 10:37:40,12.856s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), ""nayeliangelicamartinezmoreta@gmail.com"")",Chrome 97.0.4692.99,,,2022-01-31 10:37:40,2022-01-31 10:37:56,15.964s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-01-31 10:37:56,2022-01-31 10:38:00,4.153s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Page_Amazon Iniciar sesin/div_Habilita las cookies para continuar    _0980be""))",Chrome 97.0.4692.99,,,2022-01-31 10:38:00,2022-01-31 10:38:01,0.710s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordAndReplay1/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""), ""iGDxf8hSRT4="")",Chrome 97.0.4692.99,,,2022-01-31 10:38:01,2022-01-31 10:38:02,0.925s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""))",Chrome 97.0.4692.99,,,2022-01-31 10:38:02,2022-01-31 10:38:03,0.871s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Page_Amazon Iniciar sesin/div_Se produjo un problema                 _c3c363""))",Chrome 97.0.4692.99,,,2022-01-31 10:38:03,2022-01-31 10:38:07,3.959s,PASSED
delay(5),Chrome 97.0.4692.99,,,2022-01-31 10:38:07,2022-01-31 10:38:12,5.353s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-01-31 10:38:12,2022-01-31 10:38:13,1.203s,PASSED
,,,,,,,
Test Cases/Ejercicio1/Test_case_2_login,Chrome 97.0.4692.99,Login incorrecto (correo incorrecto),Login,2022-01-31 10:38:13,2022-01-31 10:39:10,56.738s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-31 10:38:14,2022-01-31 10:38:38,24.156s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-01-31 10:38:38,2022-01-31 10:38:49,10.551s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay2/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), ""nayeli.martinez@solvex.com.do"")",Chrome 97.0.4692.99,,,2022-01-31 10:38:49,2022-01-31 10:38:57,8.368s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay2/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-01-31 10:38:57,2022-01-31 10:39:00,2.739s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay2/Page_Amazon Iniciar sesin/div_Se produjo un problema                 _cb4f21""))",Chrome 97.0.4692.99,,,2022-01-31 10:39:00,2022-01-31 10:39:01,0.952s,PASSED
delay(7),Chrome 97.0.4692.99,,,2022-01-31 10:39:01,2022-01-31 10:39:08,7.007s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-01-31 10:39:08,2022-01-31 10:39:10,2.299s,PASSED
,,,,,,,
Test Cases/Ejercicio1/Test_case_3_login,Chrome 97.0.4692.99,Login correcto (correo y contraseña correcta),Login,2022-01-31 10:39:10,2022-01-31 10:40:17,1m - 6.870s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-31 10:39:11,2022-01-31 10:39:26,14.801s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-01-31 10:39:26,2022-01-31 10:39:42,16.595s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay3/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), ""nayeliangelicamartinezmoreta@gmail.com"")",Chrome 97.0.4692.99,,,2022-01-31 10:39:42,2022-01-31 10:40:00,18.280s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay3/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-01-31 10:40:00,2022-01-31 10:40:04,3.900s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordAndReplay3/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""), ""d6govjA23wZtxZngzvncjw=="")",Chrome 97.0.4692.99,,,2022-01-31 10:40:04,2022-01-31 10:40:05,1.079s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay3/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""))",Chrome 97.0.4692.99,,,2022-01-31 10:40:05,2022-01-31 10:40:06,0.663s,PASSED
delay(7),Chrome 97.0.4692.99,,,2022-01-31 10:40:06,2022-01-31 10:40:13,7.006s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-01-31 10:40:13,2022-01-31 10:40:17,3.741s,PASSED
