Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteForData,Chrome 97.0.4692.99,,,2022-01-31 16:09:53,2022-01-31 16:14:00,4m - 7.532s,FAILED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_1-login,Chrome 97.0.4692.99,Login verificacion (contraseña incorrecta),Login verificacion ,2022-01-31 16:13:28,2022-01-31 16:14:00,32.104s,FAILED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-31 16:13:28,2022-01-31 16:13:45,17.014s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-01-31 16:13:45,2022-01-31 16:13:52,6.949s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""), 0)",Chrome 97.0.4692.99,,,2022-01-31 16:13:52,2022-01-31 16:13:55,3.195s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), Username)",Chrome 97.0.4692.99,,,2022-01-31 16:13:55,2022-01-31 16:13:56,0.886s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""))",Chrome 97.0.4692.99,,,2022-01-31 16:13:56,2022-01-31 16:13:57,0.385s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-01-31 16:13:57,2022-01-31 16:13:59,2.457s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""), 0)",Chrome 97.0.4692.99,,,2022-01-31 16:13:59,2022-01-31 16:14:00,0.911s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""), Password)",Chrome 97.0.4692.99,,,2022-01-31 16:14:00,2022-01-31 16:14:00,0.278s,FAILED
